cleaned_message,sentiment
spy tsla amzn aapl tsla amzn aapl fire fire fire rocket rocket rocket rocket,Bullish
qq spy aapl tsla amzn do gap fill people also believe in astrology,Bullish
share this everywhere this be apples week to dominate and itll help nasdaq rise aapl qq msft amzn,Bullish
rkt amazon amzn be an online bookstore that have become the large cloud compute company the world have ever know rocket companies rkt be an online mortgage originator that have become this be why you dont value rkt the same as legacy lender bank,Bullish
amzn more bad news,Bearish
rkt coop barnes and nobles maybe even borders bookstores rkt amzn amzn really have no competitor until relatively recently msft and wmt be pretty much their only real competitor,Bullish
ma aapl amzn reason why investor should stay bullish on stock and use the recent market pullback as buying opportunity,Bullish
pton rumor amzn to buy pton,Bullish
nuro quell sell out on amazon amzn scientific poster be provide over the weekend on neurometrix devices link quell wearable pain relief technology,Bullish
amzn will be cheap soon it take patience source war and peace movie,Bearish
amzn iv crush will kill your contract learn how to master iv in this video,Bullish
dkng amzn solid growth company to buy right now,Bullish
amzn be be beat down solely for reason it be be wrongfully place in the same basket as the over hype over bought quotsplittersquot apple and tesla this be further proof of just how much the market today be play by young amateur clueless about fundamental they just play the ticker and swing with the masse under the plug get remove many wish amazon would announce stock split and play the same game personally i prefer they dont it would pop up the share price no doubt but in turn would just bring in weak hand young amateur play pyramid scheme,Bullish
amzn be this bargain yet or shoot for below,Bullish
amzn wtf this should be way way way high,Bullish
jcp amzn if amazon want our retail location they get to bail out all the share holder per share baby,Bullish
aapl amzn anyone think these will be hold down until after friday to kill monthly option the only question be to what price under anyone have any screenshot of option volume expire friday and what strike would seem like the most obvious for mm to hold under,Bullish
tsla if tsla manage to come up with the most efficient truck by far would amzn ever buy any of them or be there too much ego pride and competition to prevent them from use them to the point that wmt and tgt and other will buy tesla semi and catch up on distribution efficiency cost,Bullish
smartoptions register unusual activity alert delayed amzn call sept exp trade volume contract worth of volume be trade so far today follow the money amp trade options with our smartoptions register artificial intelligence,Bullish
tsla nkla nio solo amzn what do me make of tesla giga factory on the corporate vision website of giga metals the symbol hnckf which be rumor be enter mining agreement with tesla to provide tesla its nickel elon have preference to the giga name,Bullish
amzn tatistical omparison by ay erformance bullish vs bearish ver month month and month eriods backhandindexpointingleft eye eye winkingface rocket rocket rocket mo onday chartincreasingwithyen vs chartdecreasing heavycheckmark uesday chartincreasingwithyen vs chartdecreasing heavycheckmark ednesday chartincreasingwithyen vs chartdecreasing heavycheckmark hursday chartincreasingwithyen vs chartdecreasing heavycheckmark riday chartincreasingwithyen vs chartdecreasing heavycheckmark mo onday chartincreasingwithyen vs chartdecreasing heavycheckmark uesday chartincreasingwithyen vs chartdecreasing heavycheckmark ednesday chartincreasingwithyen vs chartdecreasing heavycheckmark hursday chartincreasingwithyen vs chartdecreasing heavycheckmark riday chartincreasingwithyen vs chartdecreasing heavycheckmark mo onday chartincreasingwithyen vs chartdecreasing heavycheckmark uesday chartincreasingwithyen vs chartdecreasing heavycheckmark ednesday chartincreasingwithyen vs chartdecreasing heavycheckmark hursday chartincreasingwithyen vs chartdecreasing heavycheckmark riday chartincreasingwithyen vs chartdecreasing heavycheckmark,Bullish
nflx cancel the pedo support stream service i will stick to hulu dis and amzn for now cancelnetflix trump,Bearish
amzn we be still in very strong bull market september be wild month but we should rebound strong,Bullish
amzn amazon options recommend by barron in quotits good time to trade amazon optionsquot steven sears discuss why long term investor should look at the recent market weakness as chance to retool their portfolio start with inc nasdaq amzn,Bullish
datum just come out regard music streaming revenue bullish for apple amazon and spotify aapl amzn spot qq,Bullish
msft amzn tune in to ampio pharma ampe early monday covid trial show this drug beating remdesivir on covid patient expect large gap up,Bullish
amzn price target,Bearish
orcl strange not buy outright just partnership agreement for tiktok then security issue remain no tiktok ban tomorrow,Bullish
orcl muhahahahahahaha wait till tomorrow when the deal get blessing and reveal significant stake for orcl when short cover this will go up another do not act prematurely,Bullish
orcl it will be volatile i will buy it early and sell it,Bullish
snow shall really watch out the beast of an orcl have awake other client offer cloud solution zm either breakout company orcl or completely be in our blindspot shoot for upgrade accumulation more speculation to follow buy stock at open right away,Bullish
orcl lmao where be the bear er crushed tik tok be ice on the cake,Bullish
orcl punt fake guess they be not sell to oracle either bytedance will not sell tiktoks us operation to oracle cgtn digital,Bearish
orcl do deal unitedstates wavinghand bearface,Bullish
orcl tiktok will be host on orcl cloud server,Bullish
orcl tik tok boom,Bullish
orcl i be think this will pull pelotan post er and nosedive at the open,Bearish
orcl that what the sell button be for jk,Bullish
orcl miss my entry point land in the green with share,Bullish
orcl great result but it will drop on friday as they be not get tik tok trump go to turn them off if they dont sell its politic,Bullish
orcl tiktok be either sell or shut down see you guy later,Bullish
good morning sunselector money maker monday be always bit crazy with that say orcl get the bit for tik tok spaq move on merger deal from to now let see what it will do on mo srne moving premarket as well but never forget my baby xer that everyday close high while fight with the price range,Bullish
good morningg my bull smilingfacewithhorn we be go to kill it today find entry point on ticker i have do dd on and think they be ready to explode make some cash here in premarket buying and sell orcl jill spaq nakd moneybag load astc undervalue ticker with big potential short try to talk that smack but will get flush out be over tank with the market to recovery come here flexedbicepsmedium lightskintone,Bullish
orcl it be get to find home by tomorrow out of time,Bullish
orcl facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy oracle just buy the name no wonder msft do not want to be part of shady deal,Bearish
orcl definitely backhandindexpointingright,Bullish
orcl oracle tik toc corporation,Bullish
msft so the teen app be go to orcl now softy buy real company docu,Bullish
orcl oop,Bearish
orcl to da moonn grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat what bunch of clownface clownface clownface clownface,Bearish
orcl short this straight after the pump the sale hasnt be complete didnt trump say it need to be sell or it will be ban,Bearish
orcl no deal an this go up rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing,Bearish
orcl heavy be the head that wear the crown it be fun while it last,Bearish
srne orcl boom boom time,Bullish
orcl tiktok pull out of orcl deal now facewithtearsofjoy,Bearish
orcl tiktok say,Bearish
orcl have large and aggressive option flow on friday somebody have an idea or new crystal ball follow the money and the footprint of the elephant,Bullish
orcl thats why im the good microphone drop moneybag money mouthface moneywithwings heavydollarsign,Bullish
orcl wait on your opinion,Bullish
orcl if this be bearish in way why would it run this much premarital baka upside downface,Bullish
orcl what be ibio ibio be rapidly grow company with their own covid vaccine near trial this company can manufacture more drug per dose than most major company check out the amazing dd here government connection ibio be well connected to the trump administrations drug czar admiral giroir we should be see more news from ibio soon youtubecomwatchvamotrs ibio partners ibio own ceo have be talk with barda and have link up with major partner like idri ibm and texas aampm thehillcomhomenewscorona,Bullish
orcl oracle buy tiktok make no sense,Bearish
orcl no way these gain hold look to enter some put after the open,Bearish
orcl,Bullish
orcl market maker will screw call owner over again first minute of the open last friday all over again,Bullish
orcl everyone be get hang up on the term partnership sale or partnership doesnt matter trump love larry and larry love trump this be go through in way shape or form do not be stupid,Bullish
orcl freaking trump be try to buy this election with larry it be so obvious especially bloomberg just cash flush the democratic party with,Bearish
orcl oracle be trump mega doner with or without sale the partnership will be enough to keep tiktok in the us go up,Bullish
orcl easy pump and dump,Bearish
orcl per the wsj oracle be expect to be announce as tiktok trusted tech partner in the us,Bullish
orcl quotpartnerquot no thank wheres the sale ffs,Bearish
orcl big nothing burger hamburger deal with the enemy china be dangerous game sink,Bearish
orcl fool us last night smh,Bearish
orcl once rh open it will be,Bullish
msft sell mine for orcl,Bearish
orcl,Bearish
orcl of course it be not sale they already say it be partnership,Bullish
orcl short be so screw lol burnt hotface,Bullish
orcl should go above this week,Bullish
orcl that be pretty huge gap to fill,Bearish
orcl time to buy put,Bearish
orcl am jpmorgan chase amp co reiterates buy rating for oracle orcl stock,Bullish
orcl tik tok,Bullish
orcl change my mind after read more information trump may say that partnership deal be unacceptable and just ban tik toc completely trump not play,Bearish
orcl this look to pull back on the news of no deal wait for further confirmation,Bearish
orcl drop quick no deal for oracle flushedface,Bearish
orcl look for an easy short entry here on deal news,Bearish
orcl lmaoo microsoft bid reject and people assume they just win the bid no dd just pure robbinhood pump,Bearish
orcl you guy do know oracle do not get to buy tiktok too right there be go to be lot of bag holder today lol,Bearish
orcl tik tok data hosting could be big monthly sub for oracle base on datum size per mb new long story potential about time this old schooler start to innovate,Bullish
orcl people go to spaq before it run to american make baby,Bullish
orcl repeat there be no buyout oracle will do the datum host in usa as partnership,Bullish
orcl do not fight momentum too early trend be your friend short term bullish imminent,Bullish
orcl buying put on this as deadline approach news be great if true but i also believe china would prefer this not to be buy,Bearish
orcl when this get pump buy put it will make rich,Bearish
orcl long,Bullish
orcl no buyout but datum host partnership,Bullish
orcl usequitie am oracle orcl price target raise to,Bullish
orcl old school try to get hop with tik tok,Bullish
orcl delay short vol short float potential further squeeze long story intact,Bullish
orcl boom fire fire eow,Bullish
orcl order execute at baby let it fly,Bullish
orcl printing twohearts smilingfacewithsunglasse,Bullish
orcl damn in asian market its already boom rocket rocket rocket,Bullish
wmt msft orcl still shock how many fool think there would be buyout i underestimate the amount of stupid on here,Bearish
wmt sorry orcl facewithtearsofjoy no get it bahahahaha,Bullish
orcl put holder and short seller in minus minute,Bullish
orcl update bytedance drop tiktoks us sale to partner with oracle sources trump order sale of tiktoks us arm by november new chinese requirement give beijing say in any sale bytedance propose technology partnership with oracle sources oracle to manage tiktoks us datum may buy stake sources,Bullish
orcl sound like either way this stock be go little green tomorrow we can all agree on that right bear,Bullish
msft major dodge from microsoft thank god we didnt get chosen hahaha all oracle get be seeping mess bytedance will not sell anything to oracle they just want buddy partner to host thi ccp algorithm code on oracle server instead of fastly hahahahaha well see what the dod navarro pompeo and lastly mr the big man say will be interesting orcl reuters say no sale to neither micro or oracle but partnership with oracle in hope of avoid ban plus sue us govt to see of ban can be avoid will be interesting to see what happen us govt want tie to the ccp bytedance complete divestiture partnership well see what the us govt trump admin say about this partnership quotreuters bytedance will not sell tiktoks us operation to oracle corp orcln or microsoft corp msfto and will not give the source code for the video platform to any us buyer chinas state run english television channel cgtnquot,Bullish
msft can not wait to dump all my share and buy orcl who be go to buy tiktok,Bearish
orcl it be the chinese source code that be cause the problem and it be not be sell to the us for the security measure need to protect us citizen,Bearish
orcl fsly thank god i didnt buy into the hype very interested to see what happen today with these regardless,Bearish
orcl yike lot of misinformation here please read official statement tim tok be neither sell to oracle or microsoft instead partnership have be strike between bytedance and oracle to host the video on oracle database although this sound great at the end of the day we be deal with tech at political level,Bearish
orcl sell the new event on open,Bearish
orcl you guy be so naive facewithtearsofjoy chartdecreasing,Bearish
orcl bear will be skin alive tomorrow,Bullish
izea on watch with orcl close in on tiktok deal not love the chart setup atm but catalyst do not care about chart follow us here amp check our discord link in bio to join the squad,Bullish
orcl judging by the amount of bear cope go down right now this short squeeze be go to be biblical bearface pistol,Bullish
orcl buying at am go to ride up till market open and sell i see it hit easy,Bullish
orcl stop with all the fake news about oracle not get the deal those link be obviously fake new make up by the short seller of the company here be the real new from nyc times,Bullish
orcl lot of idiot short this stock last week lol payback be bith beamingfacewithsmilingeyes grinningfacewithsweat rollingonthefloorlaughing,Bullish
orcl will buy msft next,Bullish
orcl tik tokers post celebration,Bullish
orcl tiktok be fad that will not last i be already bored look at it,Bearish
msft orcl we already have the news that tiktok wasnt go to be sell before friday close because china say it would rather see it close ms stock then drop slightly and actually bounce off the support and end up at i believe ms will not go low than so buy the dip as it will end green on the day future be rip accord to reuters just now bytedance will not sell tiktoks us operation to microsoft or oracle nor will the company give the source code to any us buyer oracle be go to be pick as tiktoks quottrusted tech partnerquot in the us the report say it will not be sell,Bullish
orcl my bet be oracle only provide some hosting via oracle cloud no development work oracle do not have staff skill set to maintain an app like tiktok,Bearish
orcl up bigly in european market already strap in boy while the rocket get fuel up rocket rocket rocket crescentmoon,Bullish
orcl hmm so be it deal or not,Bearish
orcl soo buy the shit out of it get out of the kitchen before it catch fire and they start troll and manipulate stock got order in every time i do that to soon i get burn but this be only go up at open manshruggingselector can not wait for open exciting,Bullish
orcl europe market already move in on this,Bullish
spy no tik tok that bullish for us tech except msft and orcl,Bullish
orcl facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,Bearish
orcl seriously dont understand why anyone who quotdoesnt carequot or think this isnt go to move thing its even comment do that on every stock thats sad you like buy you dont dont buy its not some complex thing require opinion use to feel bad for the loser troll stock message board that didnt last long also who the hell be use tiktok for secure conversation what be china get other than american teen act stupid oh god theyll overthrow us by tuesday the bad theyll find be an unhealthy amount of asian porn apple be sandboxed so no access to information from other app android require grant permission to everything so tell me again what secret be be steal didnt think much further than ooo china do you dont like the app me either know what i do i dont use it know what i dont do act like an app be go to hand the world to china trumps do that just fine on his own,Bullish
orcl tik tok will partner with oracle awesome,Bullish
orcl give my boy on twitch follow please to foldedhand foldedhand foldedhand foldedhand fullsendrcky,Bullish
orcl chinese state medium confirm no deal,Bearish
orcl bull there will be bunch of confusing article write by freelance article try to confuse make sure the have state source not some twitter profile or some half bake article cite the chinese medium see through the shit this go to de microsoft you can bet there will be misinformation,Bullish
orcl there go that dump fuck,Bearish
orcl on news of tiktok the first time the pop on microsoft be over market cap be nearly of oracle do the math and do not listen to shit people say about sell or that this be somehow bad news the pump will drown them you can get out but do not before,Bullish
fsly orcl,Bullish
msft buy under it will get there today thank you tik tok,Bullish
msft will go up raisinghands raisinghands raisinghands raisinghands,Bullish
msft earning will be blowout due to at home schooling and game alone,Bullish
msft it be all great dividend increase buybacks splits and an extra,Bullish
msft double down on the buyback,Bullish
levermann us megacap buy wk msft pg,Bullish
msft now that msft save let announce buyback or split this baby for some investor value,Bullish
msft go green boy and girl as expect this tik tok bs be already price in,Bullish
msft buy any dip here,Bullish
msft sideways by eod prob or so eow because i bet you that oracle get fuck in their deal and people will realize that microsoft do good thing by pull out,Bullish
msft it do not fall it be green by end of day,Bullish
msft we already have the news that tiktok wasnt go to be sell before friday close because china say it would rather see it closed than sell to the us ms stock then drop slightly and actually bounce off the support and end up at i believe ms will not go low than so buy the dip as it will end green on the day future be rip,Bullish
msft maybe fall in short term who care great company great future hold and buy more if it fall,Bullish
msft,Bullish
msft techpricerig low pe fedsupport market,Bullish
msft oh no i have so many call and my qq put quothedgequot be also screw,Bullish
msft buy msft on the dip and short oracle on the jump,Bullish
msft drop to then bounce to end in green tiktok fall through be already price in on friday,Bullish
msft just save should be deep green lol,Bullish
msft i be like my surface duo yeah but need to be honest it be not go to be my primary phone as it be not phone it be my mini pc so i will keep my iphone and keep the surface duo as productivity powerhouse,Bullish
msft great news that they will not be buy tiktok distraction over and back to what they do well focus nadella,Bullish
msft microsoft let go raisinghands raisinghands raisinghands raisinghands,Bullish
msft do not be surprised if we go green tomorrow,Bullish
msft finally we be get out of this tik tok crap,Bullish
msft everything happen for reason wmt,Bullish
msft let us see what your make of trump no sell light out that be what you say let say you,Bullish
msft look like oracle bout to be pump dumb sell the type of news day tomorrow,Bullish
msft trump just see the tt news wtfuuhh get me cheeseburger,Bullish
msft not buy tiktok buy into plant base covid vaccine at ibio,Bullish
msft well shit this be down tomorrow on big nasdaq up day fml,Bullish
msft anyone who think microsoft need tiktok shouldnt even invest in msft weak retailer,Bullish
msft this couldve be us buy you play,Bullish
msft be nice support and price to buy,Bullish
msft bahahaha sorry oracle facewithtearsofjoy,Bullish
msft and we be green premarket now,Bullish
msft dodge bullet there lad,Bullish
msft eow of week next month maybe if they be still company by then,Bearish
ccxx the most undervalued spac you can get now dphc shll msft,Bullish
msft if tiktok be so bullish for microsoft why be msft share down since the negotiation begin,Bullish
msft by market open will consider buy the dip at later this week,Bearish
msft lol call burn like mf in,Bullish
msft probably go to just burn everyone option premium long and seller,Bullish
msft last year tiktok bring in about to in revenue worldwide figure that have not previously be report this year tiktok aim to generate in revenue from the us alone i be still bullish on microsoft but this do hurt bit as i believe wmt tiktok msft combo could have generate billion per year eventually in us,Bullish
msft this be go to get dump hard sorry guy i be also gonan sell my share once pre market trading start,Bearish
msft without tiktok price in,Bullish
msft tiktok be fake shit,Bullish
msft be the to price in with rejection of tiktok,Bullish
msft piece of shit chinese company jack around class american company fuck them and fuck china,Bullish
msft they get it i be glad this whole tik tok story be over with now we can continue to grow at the usual pace microsoft be already in the low before tik tok i can see it drop tomorrow in the morning obvious sell off because the news but i can also see smart investor buy those dip quick to hold as really really long term investment,Bullish
msft nothing to lose apparently oracle be also not get it,Bullish
msft future just in meltup,Bullish
msft believe in this stock,Bullish
msft tbh who care microsoft be in tbe top most powerful company ever i use to have position in here and not once have it ever let me down just hold anywhere near it will get gobble up dont worry about thing bull by the opening bell this will start climb this be no penny stock this be microsoft,Bullish
msft lot of rookie here tonight lol,Bullish
msft bull who think the news be price in be about to have very bad monday,Bearish
msft no reason for sell off still if naive investor decide to sell then will buy smilingfacewithsmilingeye,Bullish
msft if bear think tick tock be bring down microsoft lol you,Bullish
msft just fyi bear nasdaq would not be rip if company be sell off lmao,Bullish
msft bull in trouble last support be around let us see if it hold,Bearish
msft the current price be pre tik tok news anyways we should do well on the fact the tech stock be head back up longterm investor dont care for the news its worth very little to the over stick price,Bullish
msft still hold this strong stock,Bullish
msft spiegel just raise his hand for satya to make an offer,Bullish
msft i will do the same and keep follow you,Bullish
msft tomorrow will be green bull day,Bullish
msft not cry at all msft be out from tt you be already married to an awesome wife great future and youre about to do some side biz with sketchy street chick lol that end with you be rob and an std,Bullish
msft nothing lose screw tiktok anyways,Bullish
msft msft lf you want to make huge profit on this stock you should join this room for good result free check out,Bullish
msft tbh think this will not go low than and if anything it may even be up tomorrow since future rip be what it should be,Bullish
msft tomorrow,Bearish
msft tsla look like green bull day,Bullish
msft why would this pull back on that ridiculous tiktok deal of its the same price before the deal manshrugginglightskintone manshrugginglightskintone,Bullish
msft time to buy the dip,Bullish
i buy msft and orcl call thankfully hit by market open,Bullish
nio msft have feeling tomorrow be go to be big juicy,Bullish
msft microsoft new xbox be big deal for gamers and investors here be why,Bullish
msft i kind of hope this do take beating it be around here before tiktoknew and they crush er anything low be awesome,Bullish
msft future up tomorrow open deep green and up with dodge deal back to remember we be currently at the level of month ago be consolidate at this level since july we need breakout to earn with xbox and like in,Bullish
msft be busy fight iran and russia and china openly try to hack our election datum check the fact,Bullish
msft be go to take small pullback after lose the tiktok bid next week msft will drop and orcl will rise,Bearish
orcl orcl day hour orcl have positive news regard tiktok deal leave other potential bidder like msft and wmt in the dust this could be huge mover tomorrow would not be surprised to see it pop over,Bullish
msft get to love the president get involve and they turndown msft even though way well fit then oracle i bet if president do not get involve msft would of get tic toc at least huge buying opportunity tomorrow which i be watch yo buy msft in first am,Bullish
msft the freak bank that be in on this deal be already on the board of bytedance the chinese be crook and trump have really be right along to play hardball with them i just wish he have keep his mouth shut this time until msft have the deal lock none of this would have go this way if not for trump,Bullish
msft i hope it drop cause i will buy the fuck out of it everything run off teams tick fuck run jack shit,Bullish
msft well off without tik tok bullshit msft sign deal with the government and do not affect the stock microsoft be slow climber and solid stock no tik tok here rollingonthefloorlaughing,Bullish
msft really hope they still shut down tik tok now since they do not sell the portion of us tik tok they only partner with oracle,Bullish
msft need before end of this month i will get out my call maybe extend it later,Bullish
msft hold my strike call for this friday or dump,Bullish
msft man this kinda hurt ngl everyone think microsoft be get it smh,Bullish
aapl msft tsla futures look strong green day tomorrow flexedbicep,Bullish
msft this company be so much more than tik tok but new investor be likely hope for this to pull through that be say i assume gap down tomorrow and slow climb back up oh well im long but this will likely be the only red if future hold green tomorrow hope im wrong would love for msft to close green,Bullish
msft oh yeahh,Bullish
msft price suppose to be even without tik tok,Bullish
msft man i really wish they get tik tok to boost up the stock price manfacepalmingmediumskintone,Bullish
msft so do this go down since they do not get tik tok,Bullish
msft opening,Bullish
msft pretty happy that garbage deal do not go through now orcl the company with more debt than market cap have to deal with it and we can go back to business as usual thumbsup,Bullish
septembers issue of dividend growth digest highlight my income progress for the month recent dividend increase and my prediction for upcoming dividend growth announcement for microsoft lockheed martin and mcdonalds link msft lmt pm mcd low,Bullish
msft orcl great analysis system for develop your trade and idea,Bullish
msft yike we go up regardless,Bullish
msft we be about to see how big trumps balls really be,Bullish
msft powell get the market back,Bullish
msft well without tik tok lol well thing go for em,Bullish
msft and wmt have all the money cloud and code writer need to make this deal easy this be strictly the chinese play political game with trump msft could have offer and bytedance would not have sell will be interesting to see how trump handle this as oracle ceo be trump supporter,Bullish
msft orcl fsly wmt most likely the top stock that will be trade tomorrow go to be crazy day eye,Bullish
msft nas,Bullish
msft be not as dynamic and versatile as you think to date hot hot broad like tick tok,Bearish
msft as i have say here china be not give trump nothing bytedance be not sell anything to oracle just allow them to manage user datum oracle have not the money or the social code writer to understand and afford anything the one that be in on this deal already sit on bytedance board oracle be just front for the money and datum laundering scheme so that china still maintain all tech secret and operation of bytedance this be ultimately good for msft,Bullish
i be little surprised orcl would spend so much for tik tok without any of the algorithm this be more of restructuring then an outright sale i think msft avoid major headache go forward,Bullish
msft interesting to see how people see this as loss to microsoft it be loss for tiktok the show go on how short sighted,Bullish
msft stop be salty salt and act like you be relieve microsofts bid get reject be honest with ur follower and more importantly yourself,Bullish
msft the positive spin be that microsoft be dollar rich and can focus on core business easy come easy go on to the next deal,Bullish
msft good ride with no tik tok more money in the book,Bullish
msft thank god no tik tok no china,Bullish
msft we have great news all this time and it be drop now that we have bad news we be go up handshake,Bullish
nkla wall street do not like liar and egomaniac the analyst will tear him new asshole for the next few day and the stock will bleed out meanwhile in bulltardsville they will be scream quotfake news buy the dipquot facewithtearsofjoy rollingonthefloorlaughing grinningsquintingface,Bearish
nkla hindenburg the truck be roll down hill nikola rebuttal the truck be roll down hill how much you fool pay the lawyer to come up with that facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,Bearish
nkla first huge block cover at am,Bullish
nkla not long ago trevor show the truck live they drive it,Bullish
nkla this guy trevor be joke i would love to invest in this company but definitely when the price will be around with new ceo he have to be fire the company be not do what they have be say no real technology but they be assemble part of great manufacturer to buil the truck of emission thats smart but the way they lie be not smart at all i think they can sell aot of those truck in the future the badger also but investor be very disappointed so the price will fall down deserve to buy around when the fear will stop be careful long they be many many short right now im go to enter around,Bullish
nkla remove logo and stencil other logo on product be major deception and illegal next news will be lawsuit and dissolution of gm deal have to be,Bearish
nkla ask honest bull investor that nikola be pusher then yes or no,Bearish
nkla no squeeze from short and now long have to bend and squeeze own basketball,Bearish
nkla of you be not follow you should be,Bullish
nkla look like either great price for buy in or an awful lol this hit i will throw every dollar i have liquid outside of my cash buy fund lol what go to happen guy anyone know,Bearish
nkla wheres the they be walk back statement article lemme write day shit lol,Bullish
nkla these bulls may more delusional than the kodk bulls theres evidence everywhere skull,Bearish
nkla simple question why the report didnt come before the gm news because they need to short and make more profit so they wait for good news spike to do it so most likely the report be false to make more money remember ppl call tsla fraud and bankrupt who care reality be different,Bullish
nkla i have never feel so strongly about anything in my life before than this anybody still hold this stock deserve to lose every single penny they have gamble in the stonk market slot machine over these past month every penny facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,Bearish
nkla market open,Bearish
nkla the manipulative game they play to give hope to the some and then rug pull them right after,Bearish
nkla lmfao nkla fucked simply film roll down big hill nikola never state its truck be drive under its own propulsion in the video although the truck be design to do just that as describe in previous point the truck be showcase and film by third party for commercial nikola describe this third party video on the company social medium as in motion it be never describe as under its own propulsion or powertrain drive,Bearish
nkla facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy bear trap soon short will have to cover,Bullish
nkla belong in otc along with the caribbean scammer alyi,Bearish
nkla long fool be you happy about the reply to fraud claim by hindenburg judge yourself and action accordingly more you wait more you loss,Bearish
nkla twitter be destroy the rebuttal so to recap it be pusher,Bearish
nkla bulltard quotbut but they never say the truck be power when it be roll down the hillquot pleadingface,Bearish
nkla bull oowwff,Bearish
nkla retribution be at hand follow up news incoming you have be warn shorty,Bullish
nkla what pileofpoo show spaq rule,Bullish
nkla hi guy i think the rolling of the truck be scientific experiment they be test if gravity be still work cut them some slack please facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,Bearish
nkla the green energy gravity trevor milton nail it,Bearish
nkla your own insider rollingonthefloorlaughing facewithtearsofjoy dropofblood dropofblood dropofblood dropofblood backhandindexpointingdown backhandindexpointingdown,Bearish
nkla keep pumping bulls facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,Bearish
nkla muhahahahahahahahaha nkla will be up on monday crowd be the dumb moron ever on st,Bearish
nkla this will timberr at open so bad,Bearish
nkla to the moonn rollingonthefloorlaughe rollingonthefloorlaughing,Bearish
nkla response be even more disappointing,Bearish
nkla bruhh facewithtearsofjoy manfacepalmingselector,Bearish
nkla long concentrate to loss reduce and let nkla fight with hindenburg this will be red for the entire week,Bearish
nkla yeahp make sure you also hire someone to push,Bearish
nkla hindeberg scam expose short will cover,Bullish
nkla every dip buy gl shorty,Bullish
nkla,Bearish
nkla okhandlightskintone,Bullish
nkla ceo like to make empty threat nothing be go to happen with sec,Bearish
nkla they admit to roll truck down hill what more do you need to know,Bearish
nkla unbelievable how many idiot be in here get your money out that extra bounce be save you bull money it will be right back to and less in less than week,Bearish
nkla they make lovely stunt vehicle smilingfacewithheart,Bearish
nkla some key point as nikola contact sec in battle with hindenburg,Bullish
nkla well your rebuttal slow it for minute but could not keep it above what else you get trevor,Bearish
nkla explain your truck move with gravity rollingonthefloorlaughing,Bearish
nkla follow up news incoming youve been warned shorty retribution be ar hand,Bullish
nkla be tell yall this company be fraud it be go below soon get out while can quick,Bearish
nkla hindenburg all bs,Bullish
nkla cry time,Bearish
nkla add huge this be get funny,Bullish
nkla that report read like it just confirm the hr report the dude push more false promise in the rebuttal as well i feel fuck sorry for people that would take all these wait until so i can collect my bonus and gtfo excuse nothing in the claim today do not say we be just sticker we can produce hydrogen some day and we kinda plan to,Bearish
this isnt sticks amp stones rebuttal mean nothing defamation lawsuit would be how you respond to something not fact base notice theyve take no legal action yet will be interesting to see how this unfold but not buy nkla,Bearish
nkla warningselector you bull be real special breed of sucker this thieving asshole claim to have make point by point response to hindenburgs claim the only thing prevent mrevor from release it be supposedly the sec have tell them not to do so at the moment this moron really expect us all to believe that magically at am on monday morning after only day the sec give trevor call and say what good morning trevor this be the sec you be now free to go ahead and release that devastating point by point rebuttal you provide us hour ago we work all weekend long to clear you guy from any wrongdoing guys this be literally fucking unreall facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,Bearish
nkla nikola just validate the hindenburg report rollingonthefloorlaughing,Bearish
nkla down suck it bear facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,Bearish
nkla this be so bad i can not see how trevor recover from this his reputation be in tatter,Bearish
nkla gona go to the moon buy now,Bullish
nkla that be call temporary reprieve facewithtearsofjoy rollingonthefloorlaughing grinningsquintingface,Bearish
nkla poor stupid bull lol they will be say the same shit at,Bearish
nkla pre market mean nothing this will fly soon,Bullish
nkla lool,Bearish
nkla that be the weak rebuttal i have ever see do you or do you push your truck down hill facewithtearsofjoy,Bearish
nkla i always hate hindenberg but they may be right on this no factory no revenue no video of proof you guy be get scammed,Bearish
nkla so nikola be literally go to ignore the other dozen allegation by hindenburg the lawyer must be get too expensive to write more excuse facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy clownface clownface clownface clownface,Bearish
