index,sentiment,cleaned_message
782,Bullish,amd mu mrvl the thing about st volatility due to trade war tweet be that we have lot of recent experience with how market behave in the follow day week and month remain even more bullish now than last week
783,Bullish,amzn non panic seller be salivate right now
784,Bullish,nqf qq spy ttd amzn prob get bounce if nq and es move higher from here
785,Bullish,market should bounce imo over react at the moment tariff be effective from sept anything can happen before that spy fb amzn aapl
786,Bearish,amzn lol bull everyday quotbuying this dipquot all the way from ill take cup of whatever they be drink
787,Bullish,msft got cheap af call during this money mouthface money mouthface money mouthface
788,Bullish,msft add
789,Bullish,bvsn i think this be speculation but reason esw capital own bvsn be because bvsn have patent on work collaboration software msft work
790,Bullish,msft oversold adding
791,Bullish,msft great time to add when blood be out there xmas much high
792,Bullish,msft good thing that happen to america wake up lib i do and be but obama get me run maga
793,Bullish,msft the red sea be out there yikes
794,Bullish,aapl goog sls msft fb lmp accumulate long term sls right now
795,Bearish,tsla timmbberr
796,Bearish,tsla i can not wait for china to say to musk good luck lol you will not build shit here
797,Bearish,tsla min view if confirm that channel have ton of measure downside
798,Bearish,tsla how be he go to make the payment due in november he will have to use all cash reserve plus more
799,Bearish,tsla buy will expire next week
800,Bullish,tsla look like spx spy be reverse buy tesla share for day trade
801,Bullish,tsla back in okhand
802,Bullish,msft more
803,Bullish,msft always but in on bad new downgrades take profit on upgrade good news then wait do this since the eighty
804,Bullish,msft just buy back in shs
805,Bullish,msft volitility never good for market but china thing overblown so many scared hand these day i take some profit but i do that all the time lessen the risk
806,Bullish,msft thumbsuplightskintone
807,Bullish,twtr spy gap will fill at must hold then we can look to buy
808,Bullish,twtr still hold those call and they be look pretty good we could retest soon weekly chart
810,Bullish,twtr currently still short ba how many follow my advice when i give you roku in feb tell you it quo be double this year many thank me well the same hold for twitter follow the money kiss rule keep be simple stupid pt this year with or without you you decide if this time your ready to make bank
811,Bullish,twtr love it here with election come up safe from tariff fresh break out i would not get it tomorrow tho would probably wait and see what happen monday bullish
812,Bullish,twtr company that be not or maybe do not know if they would make money quarter in row and look well every quarter hence why the stock be at week high follow the money of kind platform
813,Bullish,twtr trump will continue to bring more user to twitter every month and the election be come talk about reality show all will want front seat twitter go to this year
814,Bullish,twtr if were follow the day rule tomorrow quotshouldquot go up overall after today anything can really go but yesterdays high and low be both low than todays so there be good chance of some rebound or growth tomorrow gl
815,Bullish,amd mu mrvl ya think wh staff have the ppt on speeddial
816,Bearish,just remember mu be streaky when it go up it be big and conversely when it turn or reversal and start go down it be also big drop umbrellawithraindrops
817,Bearish,too early mu could retest the day move average mu day simple move average
818,Bearish,mu down more tariff bearface electronics thumbsdown nvda spy aapl thumbsdown spy yenbanknote yenbanknote fire spy mfg top by wallstreet jack lantern the elitists know about this of course and the us stock market be global soap opera house run by elitist
819,Bearish,mu
820,Bearish,mu down more tariff bearface electronics thumbsdown nvda spy aapl thumbsdown spy yenbanknote yenbanknote fire spy top lightbulb
821,Bullish,twtr technical breakout on daily and tweet literally move the market by billion of dollar this be undervalue here imo
822,Bullish,twtr careful here this could be the beginning of small correction with this morning be dead cat bounce
823,Bullish,twtr twitter shouldnt be effect at all from this drop because of new chinese tariff the cfo state that recently as well in term of their advertising so dont panic sell twitter should go back up
824,Bullish,social up twtr fb snap me im long short the middle
825,Bullish,twtr here we go
826,Bullish,nflx this be be accumulate wait for the pop to happen once it clear it can easily fill the gap by this time next week
827,Bullish,nflx blew past to and get reject hard
828,Bullish,nflx hold well be the target
829,Bearish,nflx be approach watch for the drop aapl
830,Bullish,soxx my soxx call be comin back now after my huge soxl run from lrcx mu amba and small amat trade i have roll up
831,Bearish,ua aapl mu spy the secret trading strategy from the that hedge funder dont want you to know about yenbanknote
832,Bullish,amd mu so how greedy be the short
833,Bullish,amd mu mrvl overall market look stable nice pop this morn but must hold
834,Bullish,lrcx there we go mu amba and call only in soxx
835,Bullish,gsector buy wk mu flex comm carb infn fslr iivi mime dxc ssnc tech technology vgt ixn ftec xt igm xlk cqq growthstock stock finance investment
836,Bullish,muwdc tell you every dip will be buy aggressively collision raisinghand womandancing nailpolish womangesturingnoselector womantippinghandselector moneybag moneybag moneybag moneybag
837,Bullish,acb i learn new trick its call shes still in the triangle facewithtearsofjoy ps you black line snap keep an eye on this she may be pull snap like reversal soon either that or she just bear flag drop but im go to go with ascend triangle breakout fourleafclover manshruggingselector fourleafclover
838,Bullish,bb blackberry vs facebook lawsuit update fb snap
839,Bullish,symc and snap both could rip higher at any given moment spy back above
840,Bullish,watch and learn buy more snap call yesterday for this week next week and week out dont know what ill make more on those or my bynd put today grinningfacewithsweat facewithtearsofjoy rollingonthefloorlaughing facewithtearsofjoy grinningfacewithsweat facewithtearsofjoy rollingonthefloorlaughing
841,Bullish,nio wait morning dip this week or next week target someone collect lot on tuesday low price bynd too too low time to collectignore update news snap wait just hold target i predict from slowly down crwd special discount yesterday very good stock yahoostock easy to go first target i predict from we already goal crwd snap er next tsla we just know er i think positive not go to anymore more and more be stable now i mention from monday about tesla i think many holder sell today actual battle price area amdmunvdaapl buy special discounting now high recommend buy
842,Bullish,bb blackberry vs facebook lawsuit update bbca fb snap twtr
843,Bullish,nio again expect next week already bottomexpecte move today or this week this target someone collect lot on tuesday low price bynd good already bottom expect open time ignore yesterday newsdone option call ignore snap wait just hold target i predict from slowly down i tell from again wait crwd huge discount yesterday high recommne fly from today again very good stock yahoostock easy to go first target i predict from we already goal crwd snap er tsla we just know er i think positive not go to anymore more and more be stable now i mention from monday about tesla i think many holder sell today actual battle price area amdmunvdaapl buy special discounting now high recommend buy buy
845,Bullish,msft not go to shake me out bitch
846,Bullish,msft i btfd today got so many oct and dec call i be go to be rich or poor but nothing in between
847,Bullish,msft where will the price be in year from today
848,Bearish,tsla do anyone notice how hard this pos get hit for min an option trader dream
849,Bullish,tsla i suspect that you be go to be get huge surprise shortly as your face get rip off market and tsla still bullish af
850,Bearish,tsla so out of the weekly put i buy today for i sell for i be swinge the other what day now teslaq you go ahead and die die die my darling
851,Bullish,tsla sometimes doubt but then watch video of him this be be from i dont care if the car be really and not he still do what he say im about even on my position this be little hiccup compare to the last few month ill just wait still
852,Bullish,tsla every time i leave town this thing soar every time i come home it drop literally drop with the market as i arrive home from trip lol maybe i need to travel lot more thinkingface rollingonthefloorlaughing
853,Bearish,tsla thank to powell today i make fortune
854,Bearish,tsla will never ever never ever never ever never ever make money trading against these dumb pajamaboy like shoot fish in bucket
856,Bearish,every time i see tsla model on the road i do literally lol goof ball look shitbox build in tent only the most effeminate beta male and frizzy haired dingbat drive
857,Bullish,tsla vanessa hudgens cant contain her happiness as brand new tesla be deliver to her house
858,Bullish,tsla nflx googl tesla new partner soon netflix and google fantastic partyingface rocket handshake
859,Bearish,tsla think ill i start go long again
860,Bearish,goog sell my goog short for profit today not bad enter again at pt
861,Bullish,goog wow nut crazy as fox i be long and be come
862,Bullish,goog googl august th buy now
863,Bearish,goog enter new short pt
864,Bullish,goog call
865,Bullish,watch our late live webinar quotfinding momentum in stocks and optionsquot we analyze amzn goog qq ttwo atvi and more
866,Bullish,goog by friday
867,Bullish,ttm start position today
868,Bullish,ttm will see
869,Bearish,amzn look ready for pullback
870,Bearish,amzn come on
871,Bullish,my gut feeling be if googl and amzn do well itll trigger short squeeze in fb i have small bullish call position just for this specific case
872,Bullish,spy power hour then amzn moment of truth excite glta
873,Bullish,amzn pump pump pump it up
874,Bullish,spy aapl amzn intc googl okhand such red day curious if the mega cap blast high ah for earning no doubt today rope in short good luck market thumbsup fourleafclover rocket rocket rocket do wheelie with your entire extended family family facewithtearsofjoy facewithtearsofjoy raisinghand
875,Bullish,amzn record prime day or whatever it be call should be nice beat
876,Bullish,msft bust through and run
877,Bullish,spy qq aapl amzn msft facewithtearsofjoy facewithtearsofjoy dont ever say you never get nice dip right before amzn er sunwithface
878,Bullish,msft she never disappoint
879,Bullish,msft i say buy dip didnt say how much you have to wait for but yes technically anything thats less then hod head towards lod be dip watch for support and resis youll get well on if you want to wait for dip to your specification
880,Bullish,msft hsy shop grab dip cmg
881,Bullish,ttm aug
882,Bullish,ttm buy the dip
883,Bullish,dbx who want to see the power of the jedi
884,Bullish,dbx by far the good cloud management in the world moneywithwings moneywithwing moneywithwing moneywithwing
885,Bullish,dbx no we have not fly like roku the rabbit or square the hare but dbx be the elephant in the room slow and steady get the hell out of his way
886,Bullish,dbx on the verge of technical breakout
887,Bearish,shorted small planned lot dbx at target
888,Bullish,dbx these call catch er
889,Bullish,dbx avg
890,Bullish,dbx options trader bullish bet on dropbox dropbox have have quite journey since its ipo rally hard then drop
891,Bullish,dbx august call for unusual activity
892,Bullish,dbx work on th tight week here with accumulation software yo should turn soon for huckleberry roger ready to rock here just more directhit in the yo monkey banana
893,Bullish,dbx of the most undervalued cloud growth play right now should be high in this market
894,Bullish,dbx building heck of base at last few pt raise have be for will get there eventually
895,Bullish,dbx strong on weak market day
896,Bullish,dbx i expect dbx to go up
897,Bullish,dbx when be next good news should run up to earning report
898,Bullish,dbx may go up to
899,Bullish,dbx should break through
900,Bullish,dbx no big buy today must be the new floor
901,Bullish,dbx week resistance at now range after confirm breakout also golden cross good play for the short term chart
902,Bullish,dnkn yes it do
903,Bullish,dnkn still way undervalue market cap compare to sbux at market cap both be solid company to buy and hold make your grandkid rich with these
904,Bullish,dnkn daily shakeout in late june but may be ripe now to break out truly remain sound performer in fast casual dining space dunkin be roll out their new age franchise store across the country
905,Bearish,dual share structure be say to exist so entrepreneur can keep provide corporate vision while attract capital alphabet founder page and brin have of the class goog share each with the vote power of googl share this let them stop any move toward reform
906,Bearish,goog tie up with the deep state secret govt
907,Bullish,fb amzn goog aapl nflx no matter what hear in the news quotcnbcquot or what the outcome of be rate cut be come powell be try to show trump tat fed be independent and they will not bend knee to trump but fact be global market demand feed cut at current situation every other country have already do rate cut powell need to do the right thing than be stubborn and fight trump fed cut come in july buy the dip and hold
908,Bearish,goog
909,Bullish,trade ideas mu delayed jun still actionable
910,Bearish,mu aapl qq spy weak economic data discussion by fed no basis cut in july micron earnings thumbsdown earning come from huawei china thumbsdown
911,Bearish,mu everything be fine lol global economic slowdown no big deal
912,Bearish,mu oh maria
913,Bearish,mu year bear market start today and entire world can blame sanjay lol
914,Bullish,mu leggo
915,Bullish,dbx those pony tail twat temporarily kill our momo by mention us yesterday
916,Bullish,dbx those that buy this name and just place it on the book shelf be the one who will win there be no way in year this company will not be able to double your money the rate at which they be convert client use free service into pay be very very impressive and the stock price will reflect this move soon or later
917,Bullish,dbx flow last week and again today
918,Bullish,dbx lot of action at the jul
919,Bullish,dbx last thursday its price break its downtrend line with heavy volume now its overbought and i will check if price retest this line now support as its implied volatility be low seem good moment to buy cheap option the bullish sign could be the golden cross that be near to happen in its daily chart
920,Bullish,dbx limit sell at money mouthface gtc
921,Bullish,dbx dte the pullback around my core as the daily uptrend continue
922,Bullish,dbx wait for you
924,Bullish,dbx this look ready to really rip wonder if we will ever get back to ipo pricing
925,Bullish,chgg try to get back into its lt ascend chl to break out so far this morning above recent descend trend line unique company plenty of fa upside
926,Bullish,chgg fresh huckleberry first time since correction start in march what monster this have be
927,Bullish,chgg chgg finally get nice break out and take friday off look good for more holdyourstop check out more
928,Bullish,chgg nice move start to break out multi week
929,Bullish,msft i have never see rally like this
930,Bullish,msft wow
931,Bullish,msft wtf
932,Bullish,msft inbound
933,Bullish,msft eye
934,Bullish,msft how high can this go thumbsup facewithtearsofjoy thumbsup
935,Bullish,msft what be go on moneybag moneybag moneybag
936,Bullish,tsla bad nfp will affect our stock maybe if down think to buy at well price also fb and amzn and goog and googl buy all
937,Bullish,goog eod
938,Bullish,fb goog amzn fk elizabeth warren whos go to vote for that monkey ass bitch just give up
939,Bullish,amzn wmt fb goog spy can anyone put amazon out of business buffett
940,Bullish,fb ill take immediately please
941,Bullish,snap the fact fb be be probe be wonderful situation for snapchat its like the govt have snaps back to well compete
942,Bullish,fb soo slow
943,Bullish,amzn fb mw fed typically cuts swiftly and do not disappoint market expectations say baml
944,Bullish,fb ph break
945,Bullish,snap all young generation use snap and ig own by fb these be the top along with twtr snap be undervalued
946,Bullish,snap this thing be the future right next to fb watch be say this
947,Bullish,googl we be long also goog and fb and amzn be all great stock just buy some enjoy disount you like sale like black friday follow
948,Bullish,how to become successful investor in share market goal set smilingfacewithheart eye knowledge smilingfacewithheart eye right decision smilingfacewithheart eye keep calm and carry on smilingfacewithheart eye risk aversion smilingfacewithheart eye budget smilingfacewithheart eye amzn googl spy fb tsla
949,Bullish,amzn at least nasdaq be in green but amzn amp fb be in red
950,Bullish,amzn ready to fly high be come soon
951,Bullish,market should be up at last today spy qq imagine when the fangs catch the bid again amzn googl
952,Bullish,amzn pt
953,Bullish,double bottom identify dnkn more insight
954,Bullish,roku amzn or googl should have buy them year ago ath come soon and monster breakout dont sell for penny
955,Bullish,amzn fell short once again
956,Bearish,amzn bull get trapped lmao
957,Bullish,twtr max pain be try very hard
958,Bullish,twtr watch the level to see further gain hourly macd be curl up
959,Bearish,twtr we bearish
960,Bullish,msft next week will be
961,Bullish,msft strong like bull
962,Bearish,msft even if china deal would it last whole situation be joke iran iran back of nuclear commitment be significant development
963,Bearish,msft msft momentum projection i think its short
964,Bullish,dbx dbx dbx
965,Bullish,dbx dbx inverse hamps forming and earning be near this have all the necessary ingredient to blow these number marke
966,Bearish,dbx monday
967,Bullish,dbx dbx upcome er play see bullish chart play carefully dbx may th call
968,Bullish,dbx undervalue
969,Bullish,mu more dollar and we be back in business come on dont fail me i still blame intc for stupid china comment
970,Bearish,intc spy qq mu amd intel get crush on earning day weak guidance be prelude for more bad news for semis
971,Bullish,amd mu mrvl remember word for the day yesterday quottransitoryquot as in all yer basis be belong to su
972,Bullish,shak boom easy great guidance momo aapl fb nflx cmg baba
973,Bearish,fb ftc settlement on privacy likely to include whatsapp
974,Bullish,fb good progress all the way from to
975,Bullish,fb still more upside grinningface
976,Bullish,fb continuation tomorrow morning with heavy volume
977,Bullish,fb strong fomo at close
978,Bearish,fb look for pull back to fill previous gap before return to upward trend
979,Bullish,fb lot of buying and continuation tomorrow morning with heavy volume
980,Bearish,fb aapl eod selloff
981,Bullish,fb strong closing baby and continuation tomorrow it have lot of room to run for couple day
982,Bearish,fb of the bad company to ever come into existence causes manic depression and ruin relationship
983,Bullish,fb as long as zuck be ceo this will go to it have lot of untapped business strong closing be expect and continuation tomorrow
984,Bearish,fb ready for the rug pull
985,Bullish,snap very strong possibility of closing green
986,Bullish,aapl snap mbrx tsla googl prpo omg big dip i remember when i be bankruptcy before of symbol ttsi wait recovery nvda amd
987,Bearish,snap also can we all collectively stop refer to the superimposition of quotdog earsquot as augment reality
988,Bearish,snap this be why i sell my put on this zombie
989,Bullish,snap go to close green mr bear
990,Bullish,snap lame takedown be that all you got opportunity to add
991,Bullish,ceo john chen bb versus evan spiegel snap mark zuckerberg fb jack dorsey twtr let us see how this play out goldencross
992,Bullish,everyday i sighsmh how pos fit pin quot eb svmk sfs snap trvg vips yelp znga trade above local oo leader grpn middlefingerwallst
993,Bullish,snap i see great buying opp
994,Bearish,snap out with suck it bull
995,Bullish,find out why stock future be high and why dnkn qcom sq be some of the most talk about stock this am
996,Bearish,fb too high for us so neutral
997,Bullish,fb settle with ftc will rip today buying call at open
998,Bullish,amzn fb aapl qq bullish tech market ahead
999,Bullish,goog suck product no trust fb amp amzn suck too firephone anyone msft stop make phone aapl chartincreasing
1000,Bullish,facebook nasdaq fb trust issue be not hamper its stock fb
1001,Bullish,fb unnecessary red day fb be strong as hell today it tap into like nothing
1002,Bullish,aal way over reaction goos fb msft pin nvda bear take advantage for nothing all will be okay by monday
1003,Bullish,thank for the great month amp great er fb aapl snap amp soon plnt purchase with all profit from this month of trade spy
1004,Bearish,cover rest of dbx short early at for temper gain still have short cfd with low basis
1005,Bearish,got the dbx cover at target for on the lot more to go lower have short put further down too pull with tiny gravity
1006,Bearish,my first cover order on dbx be at that be the interim lod but i didnt get an execution well im patient for now
1007,Bullish,dbx hidden gem load up
1008,Bullish,dbx creep high
1009,Bearish,dbx garbage wastebasket stock
1010,Bullish,nio tsla excellent top level analysis of tesla from an investors point of view ark also applicable to nio
1011,Bullish,tsla expect another test below at the bell or after pop we will see though sideline for bit this am will play volatility
1013,Bullish,tsla do not matter what you feel or desire we do not know the in and out amp only speculate ride along if it feel good be bull
1014,Bearish,tsla i be trade so if it want to test up i be game if it do not i will trade down too all in all this be clown show total mess
1015,Bullish,all that matter be tsla be green spy
1016,Bullish,dbx unusuall call flow
1018,Bearish,add small short dbx at target target on this bit be low
1019,Bullish,dbx eye
1020,Bullish,dbx unitedstates watch should be trade at least patience still require here chartincreasingwithyen moneywithwing moneywithwing moneywithwing
1021,Bullish,dbx raise stop
1023,Bearish,downgrade sbux rs tal bku axta mm sbux fdx patk cnsl pkg auy qrvo race bold cae irm wdc lad axta bku
1024,Bearish,downgrade tcbi auy rs aep fmc ms avy cf snap vet jbht rs cme cboe
1025,Bullish,clf rs aapl tsla acb nbev fb money mouthface money mouthface money mouthface money mouthface money mouthface money mouthface money mouthface money mouthface
1026,Bullish,nbev wmt deal be official who be next to drop news tgt cvs wba cost amzn sbux ko pep mstr buyout come
1027,Bullish,amzn here be the baba position and call i buy on friday that i post on entry and add to today in activity postgtgt
1028,Bullish,amzn i would personally like to thank chris for all his fake news bash post this whole weekend more work for the bull than we deserve
1029,Bearish,amzn look at all the biping
1030,Bearish,amzn bip bip bip sell sell sell
1031,Bearish,amzn short this to
1032,Bullish,amzn add to short term call easy
1033,Bullish,amzn bip bip bip articulatedlorry articulatedlorry articulatedlorry loading
1034,Bullish,amzn i routinely cost average after start new position this stock go up and would buy every dip like here just cost average yourself
1035,Bullish,spot twtr eye shushingface thumbsupmedium lightskintone
1036,Bullish,twtr go to rip high long stock and call
1037,Bullish,amd chk twtr bac asian market green we may have green day tmr
1038,Bullish,twtr this be move right i think we be on the verge of strong move xlk spy
1039,Bullish,aapl twtr watch wrestlemania free month subscription wwe network on glorious picture amp sound apple tv yes yes yes
1040,Bullish,twtr break that on weekly will get me aggressively long
1041,Bullish,amd mu mrvl upside continue
1042,Bearish,short mu fslr cat long call on biib and uvxy for this week or until gain be present yes trading both way bearfaceweek here
1043,Bearish,mu bull trap go short via put for april th will get pay without doubt
1044,Bullish,mu slowly make its way toward daily chart
1045,Bullish,long term tndm fnko yy hear mu amd ssti sne hees ins short mid term snss jagx sesn gluu aveo dcar mrns zsan
1046,Bearish,mu will hold put over the weekend like the real dumb idiot punch me please
1047,Bullish,chgg do not nitpick empty your pocket and cash account and buy this stock moneybag victoryhandselector
1048,Bearish,tsla amd nvda aapl pumponomic team shoud go on work at pm maybe they lift this to dh so we can short this tomorrow after open
1049,Bearish,tsla nvda amd aapl i be sure bull will push this to new ath they will do the hell fe borrow money from grandmother but lift it to ath
1050,Bullish,tsla kallo ready to hit that boner button on any positive development i also agree that positive eps be possible and likely
1051,Bearish,tsla how can musk prove that he do not want to manipulate the market all proof be against him its gona to be hot th april for bull
1052,Bullish,tsla racingcar rocket
1053,Bullish,nflx look at that goldman sachs style institutional buy dollar in hour be good start
1054,Bullish,nflx if it go to go all in
1055,Bullish,nflx feel coil like this want to run up soon buying call
1056,Bullish,nflx sideways til er
1057,Bullish,nflx bull print their own money here liquid injection as so they call it
1058,Bullish,nflx buyer show up at look for seller to sell into it if market go lower ret and go long
1059,Bearish,iq need regain ma stabilize what sp go to be in after more round of dilution fund quotgrowthquot less like nflx than hmny
1060,Bearish,nflx how ignorant can you kevin spacey zealot be you really cant understand how people dont like this
1061,Bearish,roku nflx fail expect roku to follow
1062,Bearish,chgg force me to cover but as ole arnold say quotill be baackquot
1063,Bullish,chgg pleasantly surprise that citron hit piece only knock this down many stock get hit or more pa look good now
1064,Bearish,chgg anticipate further selloff
1065,Bearish,chgg
1067,Bullish,ba tsla goog googl aapl amzn fb nvda luv twtr msft nws nwsa rdsa cost major news performance
1068,Bullish,watch our live webinar now amzn goog sq spy nflx
1069,Bullish,aapl smartglasses come soon msft fb goog amzn vuzi samsung why not buy while its dirt cheap
1070,Bullish,more correct to say that app be distributor of app globally after fb and goog play store
1071,Bearish,goog it be day like today that make you think if it be go up it can come down spy all be relative wait til eow low volumeup
1072,Bullish,gs the more ba go up the more goldman go down lol
1073,Bullish,spy bear will lose their mind when gs dis amzn ba googl new ath
1074,Bullish,xlf lottos from fri now up but look for more like wake up gs bac
1075,Bearish,gs every shitty stock you can think of be up this be struggle to stay positive lol
1076,Bullish,gs why stick when everyone be move we need plus this week rocket rocket let go
1077,Bullish,ba gs you have more chance of ba go positive than gs stay positive lol
1078,Bearish,gs you bull be so funny
1079,Bullish,cof rf sq like my fin lot in amp citi be soo cheap here sell of my gs thursday
1080,Bearish,gs bearish price target want more options breakdown sign up for our free weekly watchlist here
1081,Bullish,vuzi someone should explain that msft fb aapl ml lumus vuzix amp more all use choose optical see thru nextgen waveguide
1082,Bullish,vuzi buyout within month msft fb goog aapl ssnlf vz tosyy intc snap luxty googl qcom lite immr aaxn mvis nvda
1083,Bullish,fb fuck love zuckerberg and this company zuck will cuckold all short big move soon zuck cantcuckthezuck
1084,Bullish,baba spy amzn nflx aapl get off stocktwits its saturday future arent even open go watch shawshsnk redemption happyweekend
1085,Bullish,dtea when you have infrastructure in place as unit already run cbd in the future sbux dnkn want to grow any day
1086,Bullish,loudspeaker loudspeaker stocks signals alert video for long on dnkn give entry price stop loss and target levels here gtgtgtgtgt
1087,Bullish,dtea all point of boost ko sbux dnkn sjm
1089,Bearish,double top identify dnkn more insight
1090,Bullish,they do and they invest their saving into sbux dnkn
1091,Bullish,nflx oscar whats that hahaha lmao keep short
1092,Bullish,nflx shortie be dumb idiot lol close over the resistance long story just get well
1093,Bearish,nflx just taste of what to come for you baggie
1094,Bearish,nflx dayamm timberr facewithtearsofjoy facewithtearsofjoy
1095,Bearish,nflx damn what rejection
1096,Bullish,nflx bullish engulf daily print over resistance
1097,Bullish,xlf gs bac bank stock continue to grind high off todays low
1098,Bullish,gs huge good news
1099,Bullish,icpt high consolidation go on if it break highly likely to this pre market nte bidu amzn spx nflx baba gs
1100,Bearish,bac gild gs hr
1101,Bullish,gs bto call
1102,Bullish,today watch list icpt nte bkng gs spx wmt bidu
1103,Bullish,gs more likely soon this be huge news something be cook let 's wait for out come
1104,Bullish,amzn seem as if anything below be gift and gimme add more tomorrow if it drop below this magic number
1105,Bullish,amzn it be nasdaq turn to breakout on tuesday
1106,Bearish,amzn future flat work on taxis way well use of time lol
1107,Bearish,amzn price bouncing between the sma and sma but the be below which be neg the below sma also neg important week for price
1108,Bullish,amzn aapl nflx strongly believe that these push qq wk breakout before end of feb
1109,Bearish,twtr total user base have not grow much but its engagement be up as show by increase in its dau backhandindexpointingdown
1110,Bullish,twtr bullish harami on weekly
1111,Bullish,vstm hear twtr aphca apha futures looking fantastic for tuesday
1112,Bullish,sq pypl dis nvda mtch twtr atvi invest for the long term in every part of your life
1113,Bullish,twtr risk reward at this juncture be most heavily weight on the reward side buy with impunity
1114,Bullish,dbx at time of stock drop after earning
1115,Bullish,dbx bargain
1116,Bullish,wow tech be on the way zuo dbx box next week zagg should move
1117,Bullish,dbx saa be back time for all time highs shit box
1118,Bullish,watch for gevo nvln prpo dbx solo ready to make the quot move upquot nvln keep it strong last day something come
1119,Bullish,solo do we see today dbx er next week do we see this week i say will be above before er
1120,Bullish,csco undervalue carry the key to the kingdom cisco play both offense and defense i like the set up cnbc qq dia spy crm msft
1121,Bullish,spy reload adbe unh msft
1122,Bullish,msft mikey whoa
1123,Bullish,dmrc msft
1124,Bullish,msft be careful mikey
1125,Bullish,msft mike seem to be play both interesting do he pray both way
1126,Bullish,msft next minute will tell the story
1127,Bullish,msft now we rip some face off
1128,Bullish,msft open some put credit spread at the low this be
1129,Bullish,msft you know i buy that dip
1130,Bullish,msft hmm eoy
1131,Bullish,msft piss but believe more than ever
1132,Bullish,msft of course the market drop today smh
1133,Bullish,msft just add
1134,Bullish,twtr so jack will present gs tech conference tomorrow at am pst be he present for both twtr amp sq or just twtr facewithmonocle
1135,Bearish,gs lol i be almost there
1136,Bullish,cld wonder if gs ceo mention coal on cnbc interview in couple minute
1137,Bearish,gs hehe remember this morning when i tell you flat to negative lol
1138,Bullish,tsla here we go
1139,Bullish,tsla amzn start sell appliance that be suppose to be doom to hd as well
1140,Bullish,tsla last time i check when amzn purchase of wf be suppose to be death to costco still wait for that
1141,Bullish,tsla be light yrs ahead of any competition even paper competion dont bet against em
1142,Bullish,tsla i like amzn but let not act like they make the right move all the time remember the fire phone how it be suppose trump apple
1143,Bullish,tsla break news tesla be awesome
1144,Bullish,tsla to compete with tsla
1145,Bullish,tsla so gm investment in an ev truck company spell doom for tsla please sound more like gm be late to the party and desperation mode
1146,Bullish,tsla when this hit guess whose buying
1147,Bullish,got jpm call
1148,Bullish,xlf jpm wfc wf explode high
1149,Bearish,snap huge sell mil red candle on tdamer dilution
1150,Bearish,snap put put put time to crash and burn
1151,Bearish,snap share print at the close very bad news for long
1152,Bearish,snap can someone who doesnt have hollow head confirm if the mil be buy or sell
1154,Bullish,snap ut oh look like she be go be bo later tonight
1155,Bullish,snap get rid of those put
1156,Bullish,snap sweet ah buy vol
1157,Bullish,amzn plenty of bed for detain immigrant at the new trump tower el paso
1158,Bullish,amzn close above will be confirm with intraday quotwquot bullish reversal pattern to setup for tomorrow open
1159,Bullish,amzn expect about share short this morning at open to cover before the close large volume spike at close in last min
1160,Bullish,option cheap me amzn twtr expire otm call in addition to share plenty more name to shop upside risk gt downside cc vix
1161,Bearish,amzn foolish to stay in the market right now gl people
1162,Bullish,dbx will be soon i never worry about pull back here
1163,Bullish,djia ndx spy top software stock crm dbx plan fb
1164,Bullish,weekly recap asb mtw dbx tgi mod gms
1165,Bullish,dbx that be why i be poke around
1166,Bearish,nflx in debt to tell us you make on international and no us sale at all
1167,Bearish,nflx there no question net flicks have revolutionize our entire life and how we do thing since massive innovation
1168,Bearish,nflx when do we hop in the time machine and go back to the year
1169,Bearish,nflx sell
1170,Bullish,iq have tiny market cap base on china have the population of the usa see market cap of nflx to see where its head soxl qqm
1171,Bearish,nflx look like the market maker sure love tell us about this revolutionary international gem of company only billion steal
1172,Bearish,nflx hey look everyone yet another day in row of infinite day up on the kevin spacey tv network now large than mcdonalds
1173,Bearish,nio this be as much the next tsla as hmny be the next nflx
1174,Bullish,nflx luv the color green
1175,Bullish,nflx tempt breakout again as mention early on that dip
1176,Bearish,nflx
1177,Bearish,nflx look like rally every point of every day on international alone even though nothing in life ever sell for
1178,Bearish,spy spx esf qq fb aapl amzn nflx googl who be hold over the weekend for more issue to come out on china trade global slowdown
1179,Bullish,nflx tough and strong
1180,Bearish,amzn ohh the luv
1181,Bullish,spx weekend big announcement with merger aapl and tsla load up call nflx cmg amzn with positive tariff news ba gs baba
1182,Bearish,amzn woot woot
1183,Bearish,nflx remind me of gpro
1184,Bullish,nflx cmon put expire worthless
1185,Bullish,potential bull flag nflx intraday if break back up here to and over res qq spy amzn dis optionpros alerts policecarlightjin us
1186,Bearish,nflx up over dollar on last month alone what be this dollar down junk you miss earning with holiday season
1187,Bullish,nflx if back over res could see amp break hod today much strong tech name than the other today optionpros alerts policecarlightjin us
1188,Bearish,nflx its good thing our politician be perform economic miracle
1189,Bearish,nflx split just mean the stock move upwards time fast ya no
1190,Bullish,nflx hate friday
1191,Bullish,box i guess blackrocks blk and goldman gs initiate coverage call show they know more than us strong move on down day
1192,Bullish,cld very interesting in regard to gs
1193,Bullish,cld welcome aboard gs
1194,Bearish,gs call last night
1195,Bearish,update gs feb put up since alert on feb
1196,Bearish,jpm ouch
1197,Bullish,aapl bac bby csco ibm jnj jpm khc kro pp pfe pg spy stld vz wfc you can see how my day be go skull skull skull
